"Access Token","Access Token"
"Annual","Annual"
"Apple Pay through Total Processing","Apple Pay through Total Processing"
"API URL","API URL"
"Arabic","Arabic"
"Authorize","Authorize"
"Authorize and Capture","Authorize and Capture"
"Base Settings","Base Settings"
"Basque","Basque"
"Billing address required","Billing address required"
"Bulgarian","Bulgarian"
"Capture","Capture"
"Card Holder","Card Holder"
"Card","Card"
"Catalan","Catalan"
"Chinese (Simplified)","Chinese (Simplified)"
"Chinese (Traditional)","Chinese (Traditional)"
"Country Specific Settings","Country Specific Settings"
"Credit","Credit"
"Credit or Debit Card","Credit or Debit Card"
"Custom CSS","Custom CSS"
"Custom iframe CSS","Custom iframe CSS"
"Czech","Czech"
"Danish","Danish"
"Dutch","Dutch"
"English","English"
"Debit","Debit"
"Enabled","Enabled"
"Entity ID","Entity ID"
"Environment","Environment"
"Error tokenizing Apple Pay","Error tokenizing Apple Pay"
"Merchant registration error","Merchant registration error"
"Error validating merchant","Error validating merchant"
"Estonian","Estonian"
"Finnish","Finnish"
"French","French"
"French (Belgium)","French (Belgium)"
"German","German"
"Greek","Greek"
"Hungarian","Hungarian"
"Indonesian","Indonesian"
"Initial","Initial"
"Italian","Italian"
"Japanese","Japanese"
"Korean","Korean"
"Latvian","Latvian"
"Lithuanian","Lithuanian"
"Live","Live"
"Merchant ID","Merchant ID"
"Monthly","Monthly"
"Norwegian","Norwegian"
"Payment Action","Payment Action"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Plain","Plain"
"Polish","Polish"
"Portuguese","Portuguese"
"Pre-authorization","Pre-authorization"
"Pre-Authorize command not found","Pre-Authorize command not found"
"Production Schedule API URL","Production Schedule API URL"
"Quarterly","Quarterly"
"Refund","Refund"
"Register Merchant","Register Merchant"
"Require a cardholder","Require a cardholder"
"Reversal","Reversal"
"Romanian","Romanian"
"Russian","Russian"
"Sandbox","Sandbox"
"Sandbox Schedule API URL","Sandbox Schedule API URL"
"Schedule Access Token","Schedule Access Token"
"Sender ID","Sender ID"
"Slovak","Slovak"
"Slovene","Slovene"
"Spanish","Spanish"
"Stored Cards","Stored Cards"
"Store payment details?","Store payment details?"
"Swedish","Swedish"
"The content of apple-developer-merchantid-domain-association file","The content of apple-developer-merchantid-domain-association file"
"The gateway response format was incorrect. Verify the format and try again.","The gateway response format was incorrect. Verify the format and try again."
"Title","Title"
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Turkish","Turkish"
"There is no stored cards!","There is no stored cards!"
"There is no stored active cards without 3D secure!","There is no stored active cards without 3D secure!"
